ProjectID,BuildingID,BedroomSize,MaxAllowableIncome,TotalUnits,MedianInitialLegalRent,HighInitialLegalRent,LowInitialLegalRent,MedianActualRent,HighActualRent,LowActualRent
48887,57693,1-BR,41%-50%,13,,,,578,578,578
48887,57693,2-BR,41%-50%,4,,,,743,743,743
48755,72098,1-BR,91%-100%,24,,,,,,
48755,72098,2-BR,91%-100%,36,,,,,,
48755,72098,3-BR,91%-100%,48,,,,,,
48733,386227,1-BR,71%-80%,2,,,,,,
48733,386227,1-BR,91%-100%,1,,,,,,
48733,386227,2-BR,71%-80%,2,,,,,,
48733,386227,2-BR,91%-100%,1,,,,,,
48733,386227,Studio,91%-100%,1,,,,,,
48892,53714,2-BR,111%-120%,2,,,,905,1100,710
48892,53714,3-BR,111%-120%,9,,,,1009,1100,700
49060,64260,2-BR,51%-60%,4,,,,,,
49060,52764,1-BR,51%-60%,8,,,,,,
49060,52764,2-BR,51%-60%,10,,,,,,
49060,52764,3-BR,51%-60%,1,,,,,,
49060,95625,2-BR,51%-60%,4,,,,,,
49060,64510,1-BR,51%-60%,7,,,,,,
49060,64510,2-BR,51%-60%,8,,,,,,
49060,64510,Studio,51%-60%,1,,,,,,
49060,64309,1-BR,51%-60%,2,,,,,,
49060,64309,2-BR,51%-60%,4,,,,,,
48685,346832,1-BR,51%-60%,3,,,,701,889,592
48685,346832,2-BR,51%-60%,9,,,,689,1049,
48685,330794,2-BR,51%-60%,8,,,,850,1049,785
48685,346837,2-BR,51%-60%,7,,,,709,1054,621
48685,381637,3-BR,51%-60%,3,,,,817,1165,781
48685,317155,1-BR,51%-60%,1,,,,1096,1096,1096
48685,317155,2-BR,51%-60%,2,,,,704,709,699
48685,317155,3-BR,51%-60%,6,,,,793,921,764
48685,332710,2-BR,51%-60%,4,,,,799,945,689
48690,744417,1-BR,51%-60%,16,,,,,,
48690,744417,2-BR,51%-60%,15,,,,,,
48690,744417,Studio,51%-60%,12,,,,,,
49070,213832,2-BR,51%-60%,9,,,,739,1102,67
49070,334864,2-BR,51%-60%,4,,,,792.5,960,646
49070,357677,1-BR,51%-60%,3,,,,605,717,510
49070,357677,2-BR,51%-60%,10,,,,786,928,538
49070,357669,1-BR,51%-60%,4,,,,729,801,667
49070,357669,3-BR,51%-60%,1,,,,846,846,846
49070,357634,2-BR,51%-60%,1,,,,924,924,924
49070,357634,3-BR,51%-60%,2,,,,719,849,589
49070,357634,Studio,51%-60%,3,,,,469,536,414
